"Gene","CV"
"3623",0.982891537116473
"3000",0.98286433006589
"4321",0.982835587827894
"391002",0.982683132290143
"124975",0.982434767125334
"79981",0.982240515094276
"645832",0.981347038470222
"115827",0.981269243054585
"8000",0.980842056929586
"170591",0.98077521219696
"193629",0.980749350404601
"1748",0.980590646590338
"1084",0.980295366169752
"79992",0.980186962314074
"23109",0.978864060410258
"283777",0.978192452621281
"196500",0.978134819640316
"9568",0.977462541873377
"375611",0.976487076482137
"3617",0.976478228399766
"29951",0.97645646058706
"254050",0.976450031651599
"142689",0.976113916727287
"81849",0.97543549748396
"2984",0.97525668665513
"1769",0.975179166466709
"100033416",0.974403597590241
"80759",0.974378910776911
"910",0.974113075711718
"56139",0.974092636030936
"2916",0.973991019813091
"116085",0.973886015528762
"387254",0.973744155962396
"100126270",0.973675420098896
"6550",0.973637525711935
"4045",0.972820566667269
"7380",0.972474751724851
"57633",0.971948801558375
"148281",0.971659277958805
"1080",0.970954136561884
"64220",0.970786088408229
"5145",0.970126214150593
"1041",0.969901806377994
"10071",0.969660844508474
"124221",0.969462694093461
"1159",0.969339199013138
"199974",0.969005470127078
"11026",0.968116435565194
"3283",0.967816424504872
"2001",0.967795331860242
"57338",0.967483994654653
"348487",0.966421060848366
"2843",0.966396234583783
"4224",0.966164089270498
"55",0.965823086460336
"796",0.965192746946305
"60385",0.964540767488567
"339674",0.963429241391898
"646",0.963175892409818
"9671",0.963023828664097
"4168",0.962792371349525
"53353",0.962138346728075
"8911",0.962029781372794
"3804",0.961546843060479
"5137",0.961236571296947
"132228",0.961100933707569
"58538",0.960054332017228
"30813",0.959590670029825
"440738",0.959082948835942
"132989",0.958154782875496
"2103",0.957313264582029
"153478",0.956858052107729
"118738",0.95671598490007
"100131551",0.956475360532575
"221476",0.955778082949349
"55118",0.955272873136865
"26287",0.955237330857656
"206338",0.955223045873442
"79625",0.955193905623626
"9468",0.95463889025897
"4604",0.954577828776533
"6369",0.95423630797518
"145200",0.95396645067408
"201625",0.953489446207523
"374286",0.95230862320156
"10661",0.95214381141951
"414062",0.951510304844705
"4914",0.951466374664182
"203190",0.951316895650954
"342184",0.950310971592026
"1288",0.94952595062347
"1044",0.949477229648584
"363",0.949391875399904
"339390",0.948735264045353
"92483",0.948117693046089
"100216001",0.948109100031468
"5024",0.947918756406394
"23281",0.947870013228831
"810",0.947672159932567
"85569",0.947536635678742
"57582",0.947490239342985
"285016",0.947357344493521
"3205",0.947271487916483
"81285",0.946826879636716
"781",0.94658208412359
"51200",0.946535906022965
"121601",0.946457487994382
"55966",0.946433504727943
"54905",0.946428070772033
"338557",0.945450240716486
"64150",0.945257419802784
"8350",0.944696384470423
"341346",0.944693679653284
"221091",0.944315760072368
"388633",0.943966308096687
"51314",0.943452208779016
"723961",0.943012647201589
"2645",0.942576484564953
"440435",0.942297115587743
"79152",0.94227932563551
"27445",0.941663793488963
"930",0.941153518399298
"1993",0.940863514648821
"641654",0.940420675319319
"2696",0.939274492315036
"64073",0.938847320248818
"222865",0.937664327411523
"55410",0.936933989896235
"4889",0.936881860165636
"26212",0.936683618453942
"100287569",0.93619651775233
"60484",0.935995286554322
"343071",0.935939138900557
"151254",0.935890239167468
"84740",0.935657498124999
"9132",0.935342681230543
"147429",0.934783271400888
"1620",0.934370688681309
"2903",0.934213817876266
"169044",0.934171239099018
"671",0.93335942492884
"255631",0.933218706655202
"84073",0.932556067492715
"145376",0.932507185104095
"51233",0.932460283315799
"10718",0.932376204780823
"55859",0.932233963388515
"341640",0.931860649612412
"10736",0.931616918192371
"643834",0.931348295438234
"158326",0.931208405738866
"11045",0.930466478831262
"8190",0.928840609987237
"83401",0.928700211277709
"56164",0.928472916175295
"27120",0.927988778277514
"100133669",0.927975991877387
"80852",0.927874642458587
"9965",0.927544895787106
"6374",0.927369331221687
"51617",0.92704767104188
"140469",0.926492188595709
"440362",0.926413123458309
"3904",0.925951628475763
"23676",0.925870827739812
"441054",0.925339667286043
"8909",0.925319294458064
"1641",0.925245254238328
"389332",0.924666107350126
"27098",0.92458471184535
"353345",0.924379770009421
"125972",0.924088970686244
"577",0.923970935800285
"416",0.92351319115848
"114805",0.923428355641922
"133874",0.922639832036289
"164312",0.922336928608957
"79802",0.922256326640438
"8748",0.921907718966154
"286046",0.921824819388291
"22891",0.921781180695741
"7434",0.921489050779659
"4974",0.92121205896048
"5858",0.921122584647854
"283212",0.921053764806581
"401237",0.920940439128144
