"Pathway","n_genes","mean_CV","mean_VIF","high_CV_genes","high_VIF_genes","Name","noise_status","propagation_score"
"04380",125,0.209290254443867,2.57296273498281,24,6,"Osteoclast differentiation - Homo sapiens (human)","MODERATE",NA
"05214",63,0.204501983042498,2.22614089796412,10,2,"Glioma - Homo sapiens (human)","MODERATE",NA
"00760",23,0.203508279347638,2.59165050936691,4,2,"Nicotinate and nicotinamide metabolism - Homo sapiens (human)","MODERATE",NA
"04966",22,0.202303622211202,4.80916322338221,4,1,"Collecting duct acid secretion - Homo sapiens (human)","MODERATE",NA
"05416",61,0.19743203874779,2.32669495583203,10,1,"Viral myocarditis - Homo sapiens (human)","MODERATE",NA
"04977",20,0.197409684004696,1.80380862974083,4,0,"Vitamin digestion and absorption - Homo sapiens (human)","MODERATE",NA
"00564",72,0.197374038131305,1.97801663189531,14,0,"Glycerophospholipid metabolism - Homo sapiens (human)","MODERATE",NA
"00650",27,0.197274125336682,2.30782286788756,5,0,"Butanoate metabolism - Homo sapiens (human)","MODERATE",NA
"00380",38,0.196809600171605,2.14775444684602,5,0,"Tryptophan metabolism - Homo sapiens (human)","MODERATE",NA
"00250",31,0.19652993934267,2.16667490195014,4,1,"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)","MODERATE",NA
"03320",62,0.195147736980415,2.15168110799831,9,0,"PPAR signaling pathway - Homo sapiens (human)","MODERATE",NA
"05145",122,0.194443355638732,2.21328859332269,20,3,"Toxoplasmosis - Homo sapiens (human)","MODERATE",NA
"00052",24,0.191916635212865,1.87463069996118,3,0,"Galactose metabolism - Homo sapiens (human)","MODERATE",NA
"00230",154,0.191433165584308,2.33740727834172,20,6,"Purine metabolism - Homo sapiens (human)","MODERATE",NA
"00561",44,0.190994148678354,1.94625085470733,7,0,"Glycerolipid metabolism - Homo sapiens (human)","MODERATE",NA
"00603",12,0.190874696052486,1.96807777858899,2,0,"Glycosphingolipid biosynthesis - globo and isoglobo series - Homo sapiens (human)","MODERATE",NA
"04621",56,0.190811138625958,2.23775278451338,9,1,"NOD-like receptor signaling pathway - Homo sapiens (human)","MODERATE",NA
"01100",1050,0.188154461461906,2.20653741867179,155,13,"Metabolic pathways - Homo sapiens (human)","MODERATE",NA
"05222",85,0.187540289373388,2.22553097555556,12,2,"Small cell lung cancer - Homo sapiens (human)","MODERATE",NA
"04660",101,0.187478297817416,2.8730839514365,17,9,"T cell receptor signaling pathway - Homo sapiens (human)","MODERATE",NA
"05020",33,0.18684055552048,2.49293685892027,6,0,"Prion disease - Homo sapiens (human)","MODERATE",NA
"00410",21,0.186609929015568,2.4204903643398,2,0,"beta-Alanine metabolism - Homo sapiens (human)","MODERATE",NA
